,TickReturn,TickReturnLabelThres,TickReturn_Rank,TickReturnLabelThres_Rank
T0MidPriceEMADiff.a,17.41186002048112,12.008692116558786,0,0
T0AmountWeightedMomentum.a,1.6199475869014879,1.2350914071259431,1,1
T0BookImbalace.a,1.5121475784291816,1.185512072891858,2,2
T0VPIN.a,1.0666320130870688,0.7673250234396279,3,3
T0HighLowPriceChange.e,1.0448983591995928,0.7539926700380073,4,4
T0HighLowPriceChange.f,0.7703185527969338,0.6451689225860744,5,5
T0MicroTorque.a,0.6261922442992475,0.4647496886825706,8,6
T0QuoteChange.b,0.7651092597148429,0.3641470032773153,6,7
T0VolumeCorr.a,0.5099131189815035,0.3549595757501913,9,8
T0QuoteChange.c,0.7226382940771399,0.35388591955665344,7,9
T0WeightedMidPriceTorque.b,0.4936417151520897,0.28752878008545846,10,10
T0Momentum.b,0.3080535022501926,0.23309868062542924,12,11
T0VolumeCorr.b,0.20646235685674227,0.16293079718482126,15,12
T0Momentum.c,0.22794209681760902,0.14849213204375583,14,13
T0VolumeWeightedMomentum.a,0.2001734866972926,0.13204959503270067,16,14
T0QuoteChange.a,0.11349542223828811,0.12665934496785308,19,15
T0SimpleOrderBookImbalance.a,0.19154471219704164,0.08667852441612117,17,16
T0ConsumptionRate.a,0.09672536242929086,0.06878442828565257,21,17
T0AveragePriceBias.a,0.09083383599577034,0.06349909761162426,22,18
T0MidPriceEMADiff.c,0.06709726991130958,0.053890918273817257,26,19
T0Reactivity.a,0.06809763534662398,0.04548909381359436,25,20
T0HullMA.a,0.07261118813309046,0.044872823572570074,23,21
T0Momentum.a,0.07019084442494665,0.031870367216087964,24,22
T0HighLowPriceChange.d,0.1314794407773286,0.03151295449724525,18,23
T0VolumeEntropy.a,0.030339533429769916,0.031063534569897376,35,24
T0VolumeEntropy.b,0.030323602073383575,0.031047418118473204,36,25
T0AveragePriceBias.b,0.11264765148157767,0.026487713083262882,20,26
T0RealizedVariance.d,0.03381724715802415,0.02641562577689406,31,27
T0VolumeChange.a,0.06382678151871346,0.026272251611055217,27,28
T0BookImbalace.b,0.02045597262547398,0.020373465230873616,40,29
T0MoneyFlowIndex.a,0.03139511104026006,0.02000237175970492,33,30
T0Skewness.a,0.0392381497744047,0.015113609089139777,29,31
T0MidPriceEMADiff.b,0.02043094267471307,0.014536569522764123,41,32
T0UniformityInformationDistribution.a,0.034003947185336114,0.013164365775137098,30,33
T0VolumeStability.b,0.04286575458646507,0.012437318460142678,28,34
T0AmihudIlliquidityMeasure.b,0.3136651074685886,0.0120994430097282,11,35
T0RealizedVariance.b,0.030408555325035117,0.011889926177270036,34,36
T0AmihudIlliquidityMeasure.a,0.26648087188500635,0.009766867322340327,13,37
T0Skewness.c,0.019176414983497744,0.009616908133729316,42,38
T0ValueAtRisk.b,0.021295064581637085,0.009171221640685893,39,39
T0BuyInMovement.b,0.018057362272662907,0.0070371302445221785,43,40
T0VolumeWeightedSkewness.a,0.007259335381865216,0.006788585345555153,45,41
T0RealizedVariance.c,0.03356223103289349,0.006671217597421508,32,42
T0Skewness.b,0.027220468139535194,0.006572846408692578,37,43
T0ValueAtRisk.a,0.009639925560016195,0.004478904488492937,44,44
T0BuyInMovement.a,0.003998010047027279,0.003685493769604491,49,45
T0RealizedVariance.a,0.024927496825697712,0.0022713895033322634,38,46
T0VolumeCorr.c,0.001001880969118718,0.0010593708404145088,51,47
T0HighLowPriceChange.b,0.004027055646150194,0.00045185389457764736,46,48
T0HighLowPriceChange.c,0.004026676652933639,0.0004516936477014419,47,49
T0HighLowPriceChange.a,0.004026302107684947,0.00045152770326335474,48,50
T0UniformityTurnoverDistribution.a,0.0005078115483272904,0.00030766052246895354,53,51
T0VolumeChange.b,8.609194961087988e-05,0.00019755976869021135,54,52
T0WeightedMidPriceTorque.a,0.0024002743328777284,0.00010390606939538972,50,53
T0VolumeStability.a,0.0007732740068064053,8.046594362729206e-05,52,54
