,count,mean,std,min,25%,50%,75%,max,n_missing,n_infinite,median,skew,kurtosis
T0AmountWeightedMomentum0.a,2306678.0,0.001192030729725957,0.2561480402946472,-20.871337890625,-0.11249428987503052,-0.0006361042615026236,0.10552794486284256,13.197957992553711,24.0,0.0,-0.0006361042615026236,-2.9594428595371234,404.7640019288501
T0AmountWeightedMomentum1.a,2306573.0,0.0018344055861234665,0.580653727054596,-25.758358001708984,-0.2440793216228485,-0.010835977271199226,0.22739045321941376,15.370905876159668,129.0,0.0,-0.010835977271199226,-2.5842716729799506,159.50246496354166
T0AmountWeightedMomentum2.a,2306443.0,0.0019822947215288877,0.8038195967674255,-25.757728576660156,-0.3321722149848938,-0.01852760650217533,0.30739086866378784,12.010740280151367,259.0,0.0,-0.01852760650217533,-1.9121823866050862,84.23781109909099
T0HullMA0.a,2306680.0,9.91062449884339e-08,0.0014795836759731174,-0.2662486135959625,-0.0003092279366683215,-4.271428679203382e-06,0.0003064153133891523,0.24875099956989288,22.0,0.0,-4.271428679203382e-06,-5.686719741328618,5366.668525555412
T0HullMA1.a,2306594.0,6.643447250098689e-07,0.001686706906184554,-0.2866499125957489,-0.0004355635028332472,-9.661824151407927e-06,0.0004279711574781686,0.2878790497779846,108.0,0.0,-9.661824151407927e-06,-3.1923939830381722,4752.957157023203
T0HullMA2.a,2306490.0,1.1677370821416844e-06,0.001805163687095046,-0.28821417689323425,-0.0005190040683373809,-1.1909205568372272e-05,0.0005038059898652136,0.29082605242729187,212.0,0.0,-1.1909205568372272e-05,-2.734783617683841,3731.379174731402
T0Reactivity0.a,2306702.0,-0.024494675919413567,22.83539390563965,-28497.62109375,-2.713005733312457e-05,0.0,2.4788028440525522e-05,1650.7857666015625,0.0,0.0,0.0,-1028.8087619076023,1177502.7081811996
T0Reactivity1.a,2306702.0,-0.03717825561761856,32.281002044677734,-36057.7578125,-0.00015603942301822826,0.0,0.00013071672947262414,1957.3037109375,0.0,0.0,0.0,-925.5461323614916,913367.8832499678
T0Reactivity2.a,2306702.0,-0.04178303852677345,36.55719757080078,-44194.125,-0.00032251585798803717,0.0,0.00026583223370835185,2169.455078125,0.0,0.0,0.0,-983.7114764829829,1062581.8416296383
T0Momentum0.a,2302740.0,-0.34920474886894226,12.908099174499512,-3221.501220703125,-4.575363636016846,0.0,4.348511219024658,372.63616943359375,3962.0,0.0,0.0,-12.726774406292046,1913.9487040383058
T0Momentum0.b,2306678.0,4.765351695823483e-05,0.007640006020665169,-0.6245391368865967,-0.0022228718735277653,-5.619553121505305e-05,0.0021172650158405304,0.5970274806022644,24.0,0.0,-5.619553121505305e-05,0.5737004846846357,609.6852546626245
T0Momentum0.c,2306677.0,-1.2130880300276203e-08,0.0008798195049166679,-0.11012591421604156,-0.00017223716713488102,-1.4556824190492534e-08,0.00017084114369936287,0.16146400570869446,25.0,0.0,-1.4556824190492534e-08,14.144717646162029,4632.7161487590565
T0Momentum1.a,2302044.0,-0.8046443462371826,16.551433563232422,-872.9371337890625,-6.940166473388672,0.0,5.992125511169434,373.2857360839844,4658.0,0.0,0.0,-4.129848470756177,112.8364290429351
T0Momentum1.b,2306573.0,7.08006427885266e-06,0.001902589458040893,-0.12008412182331085,-0.0007906472310423851,-4.1811443225014955e-05,0.0007218254031613469,0.054456677287817,129.0,0.0,-4.1811443225014955e-05,-2.1763103688903507,171.07889867728937
T0Momentum1.c,2306572.0,9.71588476339491e-10,5.339565177564509e-06,-0.0006365793524309993,-1.3735092352362699e-06,-5.349330756132531e-09,1.3453172869049013e-06,0.0009046111372299492,130.0,0.0,-5.349330756132531e-09,10.931149730647041,3393.720201627925
T0Momentum2.a,2300876.0,-1.229972243309021,19.69875144958496,-949.7107543945312,-8.958538055419922,0.0,8.029994010925293,373.0155944824219,5826.0,0.0,0.0,-3.5095903291795265,75.42861094737526
T0Momentum2.b,2306443.0,2.2195638393895933e-06,0.0012815187219530344,-0.06063390523195267,-0.0005401124362833798,-3.809226109297015e-05,0.0004889609990641475,0.028554005548357964,259.0,0.0,-3.809226109297015e-05,-1.8273530467050296,106.48580484004607
T0Momentum2.c,2306442.0,2.3579860286560006e-10,7.173202334342932e-07,-8.00551861175336e-05,-2.1098624358728557e-07,-1.0298468744451839e-09,2.0730767857912724e-07,0.00011284906941000372,260.0,0.0,-1.0298468744451839e-09,8.702546409591845,2571.220270190683
T0VolumeWeightedMomentum0.a,2306654.0,0.00039616430876776576,0.2596017122268677,-84.28197479248047,-0.04206258803606033,0.0,0.04144059494137764,55.737213134765625,48.0,0.0,0.0,-8.232043342592945,11294.129418862463
T0VolumeWeightedMomentum1.a,2306574.0,0.001716200029477477,0.49666357040405273,-405.35614013671875,-0.05515377223491669,0.0,0.051904771476984024,64.62034606933594,128.0,0.0,0.0,-316.3234271803707,223156.4933378658
T0VolumeWeightedMomentum2.a,2306474.0,0.002221390837803483,0.8347854614257812,-806.6988525390625,-0.06566908955574036,0.0,0.06077943742275238,67.79248046875,228.0,0.0,0.0,-523.5883582017374,435174.6404848017
T0MidPriceEMADiff0.a,2306603.0,-1.137269123319129e-06,0.0010343868052586913,-0.07846848666667938,-0.0004427898384165019,-1.4199860743246973e-05,0.0004011692653875798,0.038420889526605606,99.0,0.0,-1.4199860743246973e-05,-2.7374128726126687,241.18659894203338
T0MidPriceEMADiff0.b,2306603.0,-0.00046916690189391375,0.2509802281856537,-0.9993870854377747,-0.06245012953877449,0.0008863332332111895,0.057291753590106964,49.5,99.0,0.0,0.0008863332332111895,13.437741938648571,1616.6636801685343
T0MidPriceEMADiff0.c,2306603.0,-1.3384031944951857e-06,0.0018044511089101434,-0.28481796383857727,-0.0005318939802236855,-2.5150302462861873e-05,0.0004961113445460796,0.2850184440612793,99.0,0.0,-2.5150302462861873e-05,-2.9498859350817175,3511.677594508454
T0MidPriceEMADiff1.a,2306503.0,-2.916528956120601e-06,0.0014283197233453393,-0.07919469475746155,-0.0006142213242128491,-3.658792411442846e-05,0.0005539776757359505,0.040888722985982895,199.0,0.0,-3.658792411442846e-05,-2.003510018248396,141.41343365130055
T0MidPriceEMADiff1.b,2306503.0,-0.00010026097152149305,0.3229258358478546,-0.9995594620704651,-0.09449456632137299,0.0023566544987261295,0.08385375142097473,99.5,199.0,0.0,0.0023566544987261295,36.33385652439167,8916.670214993332
T0MidPriceEMADiff1.c,2306503.0,-3.242450702600763e-06,0.0020650741644203663,-0.28675270080566406,-0.0006896954728290439,-4.094616451766342e-05,0.0006299003725871444,0.2894982695579529,199.0,0.0,-4.094616451766342e-05,-2.186412771704758,2145.442112026506
T0MidPriceEMADiff2.a,2306203.0,-9.594128641765565e-06,0.0022297098767012358,-0.07963332533836365,-0.0009579805191606283,-9.564997890265658e-05,0.0008431358146481216,0.05485032871365547,499.0,0.0,-9.564997890265658e-05,-1.10627382269156,64.04674538109201
T0MidPriceEMADiff2.b,2306203.0,0.0002933656796813011,0.4497038424015045,-0.9997893571853638,-0.16018792986869812,0.00426111277192831,0.13234391808509827,249.4976348876953,499.0,0.0,0.00426111277192831,107.03492901110468,49692.44326686963
T0MidPriceEMADiff2.c,2306203.0,-1.0097336598846596e-05,0.0026886400301009417,-0.2875481843948364,-0.0010230278130620718,-8.771205466473475e-05,0.0009113941341638565,0.29285186529159546,499.0,0.0,-8.771205466473475e-05,-1.2645787569613756,784.7413378965625
T0Skewness0.a,2306702.0,-26122.36328125,500442.71875,-12440901.0,-0.024761127308011055,9.960971510736272e-05,0.02396047255024314,0.22360679507255554,0.0,0.0,9.960971510736272e-05,-19.495759969424828,385.2245913358231
T0Skewness0.b,2306702.0,-4701.099609375,91133.7109375,-2556076.0,-0.04998675547540188,-0.03672938793897629,-0.024803588166832924,92401.6328125,0.0,0.0,-0.03672938793897629,-19.949715672272255,409.69120305898923
T0Skewness0.c,2306697.0,24.46438980102539,512326.5625,-12440901.0,-0.01689240150153637,0.0,0.016574958339333534,12440902.0,5.0,0.0,0.0,0.009668301295249168,371.20716139277346
T0Skewness1.a,2306702.0,-1.982690453529358,579.5166015625,-169388.765625,-0.007949583232402802,-0.00022808795620221645,0.007560436963103712,0.09867003560066223,0.0,0.0,-0.00022808795620221645,-292.28956307394975,85430.27052197845
T0Skewness1.b,2306702.0,-0.2715819478034973,79.23120880126953,-23158.744140625,-0.011631299508735538,-0.007629081839695573,-0.0038660687278024852,2.0581374470049338e-18,0.0,0.0,-0.007629081606864929,-292.2814533955164,85427.11207119629
T0Skewness1.c,2306672.0,4.234780788421631,830.9834594726562,-0.09582323580980301,-0.0036661052145063877,-1.818220698623918e-05,0.003639085451141,169388.734375,30.0,0.0,-1.818220698623918e-05,196.5456555667226,38690.46681078505
T0Skewness2.a,2306702.0,-8.279587927972898e-05,0.004918653517961502,-0.0707106813788414,-0.004420726094394922,-0.00017203881725436077,0.0041888701962307096,0.0707106813788414,0.0,0.0,-0.00017203882453031838,0.07494254053958589,-0.39794200345277897
T0Skewness2.b,2306702.0,-0.0039064339362084866,0.002478872425854206,-0.0707106813788414,-0.006042165914550424,-0.003841651603579521,-0.0017324325162917376,2.2187694390107815e-12,0.0,0.0,-0.003841651603579521,-0.2763187986485447,0.8914734465723986
T0Skewness2.c,2306642.0,-3.667534201667877e-06,0.00391658628359437,-0.1414213627576828,-0.0018070191144943237,-1.1734030522347894e-05,0.0018286348786205053,0.07203920185565948,60.0,0.0,-1.1734030522347894e-05,-0.6869098418784773,19.374791414840967
T0ValueAtRisk0.a,2306592.0,0.1426207572221756,0.0761716216802597,2.259698277384814e-07,0.10509876906871796,0.12629881501197815,0.16004446148872375,5.247056007385254,110.0,0.0,0.12629881501197815,16.850747246802452,739.703673575114
T0ValueAtRisk0.b,2306569.0,0.1203424483537674,0.07747092843055725,-0.13536587357521057,0.08098762482404709,0.10415402799844742,0.13922709226608276,4.777777194976807,133.0,0.0,0.10415402799844742,14.0928627303722,554.6169104023288
T0ValueAtRisk1.a,2306093.0,0.1496913582086563,0.05822077393531799,2.74608936479126e-07,0.11723455786705017,0.13689099252223969,0.16636645793914795,2.447866916656494,609.0,0.0,0.13689099252223969,9.326084565778748,237.9138137860496
T0ValueAtRisk1.b,2306103.0,0.09393920749425888,0.06870602071285248,5.989963369756879e-08,0.05836790055036545,0.07867694646120071,0.10982190072536469,1.983873963356018,599.0,0.0,0.07867694646120071,8.646208458666864,172.87136781784113
T0ValueAtRisk2.a,2305493.0,0.15169574320316315,0.051136281341314316,2.5166860950776027e-07,0.12181200832128525,0.14091871678829193,0.1698378324508667,1.7126491069793701,1209.0,0.0,0.14091871678829193,6.650962680608195,121.9209329320748
T0ValueAtRisk2.b,2305503.0,0.09903033822774887,0.06315866112709045,4.528004993176182e-08,0.06516040861606598,0.08541477471590042,0.11475008726119995,1.490026593208313,1199.0,0.0,0.08541477471590042,7.636280670372589,130.40426438933105
T0UniformityInformationDistribution0.a,2306499.0,0.08072325587272644,0.06664378196001053,0.0,0.04158413037657738,0.0631837546825409,0.09914158284664154,9.94977855682373,203.0,0.0,0.0631837546825409,9.842611169316418,696.151411023172
T0UniformityInformationDistribution1.a,2305474.0,0.10076237469911575,0.10210441797971725,0.0,0.04748542979359627,0.07464344799518585,0.12240324169397354,24.467470169067383,1228.0,0.0,0.07464344799518585,31.10181151055125,4524.798553076555
T0UniformityInformationDistribution2.a,2304274.0,0.10548612475395203,0.09704700857400894,0.006573849823325872,0.04839637130498886,0.08004986494779587,0.13256019353866577,7.333384990692139,2428.0,0.0,0.08004986494779587,11.053172359139783,494.5149032835082
T0VolumeWeightedSkewness0.a,2299871.0,0.006064736749976873,0.15587015450000763,-8.191203117370605,-0.004144800826907158,5.217925718170591e-06,0.004369970411062241,6.299201011657715,6831.0,0.0,5.217925718170591e-06,9.17764806091889,384.68151255156806
T0VolumeWeightedSkewness1.a,2290584.0,0.011002074927091599,0.2377527356147766,-8.246678352355957,-0.008185289800167084,-5.522183346329257e-05,0.009468518197536469,6.681030750274658,16118.0,0.0,-5.522183346329257e-05,3.8636819686604165,144.0427777301218
T0VolumeWeightedSkewness2.a,2267433.0,0.02382454089820385,0.36513328552246094,-11.235601425170898,-0.01746348850429058,-5.901641634409316e-05,0.021581493318080902,6.488008499145508,39269.0,0.0,-5.901641634409316e-05,2.0502284157557735,58.838934199347065
