,TickReturn,TickReturnLabelThres,TickReturn_Rank,TickReturnLabelThres_Rank
T0AmountWeightedMomentum0.a,2.2042499,1.9227568,0,0
T0BookImbalace0.a,1.7417705,1.5885091,1,1
T0HighLowPriceChange0.f,1.0064926,0.9270316,6,2
T0HighLowPriceChange1.e,1.1326755,0.9167333,2,3
T0VPIN1.a,1.0524701,0.9137121,5,4
T0WeightedMidPriceTorque0.b,1.106427,0.8610215,3,5
T0HighLowPriceChange2.e,0.9672144,0.8066673,7,6
T0MicroTorque2.a,1.0598041,0.8008949,4,7
T0HighLowPriceChange0.e,0.87273645,0.79392314,10,8
T0HighLowPriceChange2.f,0.7609808,0.7100512,13,9
T0Momentum2.b,0.8093772,0.696001,11,10
T0HighLowPriceChange1.f,0.7649583,0.6745663,12,11
T0QuoteChange0.c,0.87676346,0.6098264,9,12
T0VolumeCorr0.a,0.66728103,0.5863318,15,13
T0VolumeWeightedMomentum0.a,0.67168987,0.53811526,14,14
T0HighLowPriceChange3.f,0.5141152,0.48130023,19,15
T0VolumeCorr1.a,0.5711732,0.44279078,18,16
T0HighLowPriceChange3.e,0.4239599,0.39343512,23,17
T0MidPriceEMADiff2.c,0.4241347,0.37461334,22,18
T0QuoteChange0.a,0.32239175,0.36436328,27,19
T0HighLowPriceChange0.d,0.57535326,0.34544212,17,20
T0HullMA1.a,0.42821157,0.2994705,21,21
T0Momentum1.b,0.4294844,0.29783088,20,22
T0RealizedVariance5.d,0.24338375,0.2760746,33,23
T0SimpleOrderBookImbalance1.a,0.33046746,0.24648057,26,24
T0QuoteChange2.a,0.34641063,0.2400749,25,25
T0VolumeChange0.a,0.3793569,0.23085351,24,26
T0Momentum1.a,0.31851962,0.20480733,28,27
T0QuoteChange1.c,0.28670597,0.195693,31,28
T0VolumeEntropy2.a,0.12760454,0.1845096,49,29
T0VolumeCorr1.b,0.1661703,0.18052363,43,30
T0AmihudIlliquidityMeasure2.b,0.9546048,0.1791207,8,31
T0VolumeEntropy1.a,0.20699674,0.17187797,38,32
T0RealizedVariance0.b,0.21979456,0.17121083,35,33
T0VPIN3.a,0.16773126,0.1661369,42,34
T0Momentum0.b,0.15614161,0.16387932,45,35
T0AveragePriceBias2.b,0.26960874,0.14912236,32,36
T0VolumeStability0.b,0.28787172,0.14376803,30,37
T0Momentum2.c,0.14711502,0.13909285,46,38
T0Momentum2.a,0.20628946,0.13467133,39,39
T0Skewness1.a,0.18840575,0.12993267,40,40
T0MoneyFlowIndex0.a,0.21734197,0.12469703,36,41
T0VolumeWeightedSkewness1.a,0.036922168,0.11347369,78,42
T0MidPriceEMADiff0.c,0.07153424,0.11263471,65,43
T0BookImbalace1.b,0.030949919,0.10773988,84,44
T0VolumeWeightedMomentum1.a,0.1441408,0.10689886,47,45
T0AmountWeightedMomentum1.a,0.24051219,0.09832696,34,46
T0MidPriceEMADiff1.a,0.09360766,0.097998455,61,47
T0VolumeChange1.a,0.12353791,0.090071954,50,48
T0QuoteChange3.c,0.017655019,0.08928846,88,49
T0Skewness2.a,0.16431929,0.08644988,44,50
T0MidPriceEMADiff1.b,0.12215066,0.08395517,51,51
T0RealizedVariance4.d,0.00061839307,0.08365235,98,52
T0AmihudIlliquidityMeasure0.a,0.11710058,0.08362516,52,53
T0RealizedVariance3.b,0.10511767,0.083488196,57,54
T0Reactivity1.a,0.05366905,0.08287863,70,55
T0HighLowPriceChange3.d,-0.01645796,0.07896227,109,56
T0ConsumptionRate0.a,0.10743813,0.078181535,54,57
T0MicroTorque0.a,0.10547911,0.07491449,56,58
T0BuyInMovement0.b,0.17378339,0.06964298,41,59
T0RealizedVariance5.c,0.034101784,0.069358975,81,60
T0RealizedVariance2.b,0.10572726,0.06807255,55,61
T0UniformityInformationDistribution2.a,0.03428889,0.062158734,80,62
T0RealizedVariance2.a,0.019926121,0.06113778,87,63
T0ValueAtRisk1.a,0.031987336,0.060402628,82,64
T0AmihudIlliquidityMeasure1.a,0.57708204,0.054664217,16,65
T0ValueAtRisk2.b,0.058373295,0.054227784,67,66
T0UniformityInformationDistribution1.a,0.056060493,0.053448882,68,67
T0MicroTorque1.a,-0.11636354,0.052688792,144,68
T0BuyInMovement0.a,0.07390365,0.051570415,64,69
T0VolumeChange2.a,0.053945772,0.046307776,69,70
T0BookImbalace2.a,-0.019349383,0.044387158,112,71
T0VolumeCorr1.c,0.029751657,0.042618763,85,72
T0VolumeWeightedSkewness2.a,0.09849239,0.03942047,59,73
T0HighLowPriceChange1.b,0.086229086,0.038886003,62,74
T0Momentum0.a,0.0060031717,0.033059973,93,75
T0VolumeStability1.b,-0.029168596,0.03182337,114,76
T0QuoteChange3.a,-0.055213924,0.02940049,130,77
T0WeightedMidPriceTorque2.b,-0.01728341,0.029048717,110,78
T0SimpleOrderBookImbalance2.a,0.09525224,0.027838176,60,79
T0RealizedVariance3.c,-0.029580532,0.026811756,115,80
T0VolumeEntropy3.a,0.060303766,0.024657793,66,81
T0RealizedVariance0.c,0.3158799,0.023019917,29,82
T0HighLowPriceChange0.c,-0.045272667,0.022786774,123,83
T0HighLowPriceChange0.a,-0.045284983,0.022779386,124,84
T0ValueAtRisk2.a,-0.008069186,0.021204159,103,85
T0Skewness0.a,0.014969994,0.020449264,89,86
T0HighLowPriceChange3.c,0.011384426,0.011465622,91,87
T0HighLowPriceChange3.a,0.011384528,0.011463731,90,88
T0RealizedVariance4.a,0.053180046,0.011305668,71,89
T0VolumeEntropy0.a,0.005079464,0.01106445,96,90
T0WeightedMidPriceTorque1.a,0.04899259,0.010193437,75,91
T0WeightedMidPriceTorque2.a,0.048992593,0.010193432,74,92
T0RealizedVariance1.b,0.102541916,0.009395177,58,93
T0UniformityTurnoverDistribution0.a,-0.010916139,0.008180452,105,94
T0VolumeStability0.a,-0.017395426,0.00742455,111,95
T0RealizedVariance4.c,-0.057285625,0.0073158233,131,96
T0Skewness0.c,0.029054645,0.006911294,86,97
T0AmountWeightedMomentum2.a,0.05032403,0.0052746725,73,98
T0VolumeChange2.b,0.0054625855,0.0040173023,95,99
T0AveragePriceBias2.a,0.036842372,0.0031199816,79,100
T0HighLowPriceChange2.a,-0.04067486,0.0019494706,119,101
T0HighLowPriceChange2.c,-0.040678594,0.0019483139,120,102
T0VolumeCorr0.c,-0.04188642,0.0009600316,121,103
T0UniformityTurnoverDistribution1.a,0.008130016,-0.0010482786,92,104
T0MidPriceEMADiff0.b,-0.0372551,-0.001571799,118,105
T0HighLowPriceChange2.b,0.040682603,-0.0019469284,77,106
T0VolumeChange1.b,0.0022590554,-0.0046227477,97,107
T0VolumeStability1.a,-0.044143755,-0.005704587,122,108
T0RealizedVariance1.a,-0.13947941,-0.007331272,152,109
T0WeightedMidPriceTorque0.a,-0.048992593,-0.010193432,127,110
T0AveragePriceBias1.b,-0.04753002,-0.01086744,125,111
T0RealizedVariance1.d,0.10936373,-0.010949556,53,112
T0VolumeEntropy0.b,-0.0051209372,-0.011080625,101,113
T0HighLowPriceChange3.b,-0.011383777,-0.011467397,106,114
T0VolumeStability2.a,-0.007997632,-0.0122108525,102,115
T0QuoteChange3.b,0.005835342,-0.01364013,94,116
T0BuyInMovement1.b,-0.049251657,-0.018478882,128,117
T0RealizedVariance5.a,-0.0009751572,-0.019801589,99,118
T0Skewness0.b,-0.015692998,-0.021373807,108,119
T0QuoteChange2.c,0.07467691,-0.022432188,63,120
T0RealizedVariance1.c,0.1411959,-0.022787964,48,121
T0HighLowPriceChange0.b,0.045260403,-0.02279401,76,122
T0UniformityTurnoverDistribution2.a,-0.033812404,-0.022823598,117,123
T0VolumeChange0.b,-0.014944303,-0.02356208,107,124
T0VolumeEntropy3.b,-0.060047414,-0.024431305,132,125
T0VolumeStability2.b,0.031797558,-0.026671182,83,126
T0HighLowPriceChange1.a,-0.086204275,-0.03887453,137,127
T0HighLowPriceChange1.c,-0.08621674,-0.038880385,138,128
T0RealizedVariance3.a,-0.009704741,-0.03941776,104,129
T0RealizedVariance4.b,-0.04755746,-0.03945926,126,130
T0BuyInMovement2.a,-0.07120607,-0.040305622,135,131
T0RealizedVariance3.d,-0.15592319,-0.040470544,155,132
T0HighLowPriceChange2.d,-0.13084435,-0.04091838,149,133
T0QuoteChange2.b,-0.09935793,-0.054363474,141,134
T0Skewness1.b,-0.11796332,-0.06079782,145,135
T0Reactivity2.a,-0.030062562,-0.06336282,116,136
T0MoneyFlowIndex2.a,-0.0521351,-0.063404754,129,137
T0RealizedVariance0.d,0.20887832,-0.063518204,37,138
T0BuyInMovement1.a,-0.02869691,-0.07328911,113,139
T0AmihudIlliquidityMeasure0.b,-0.10761096,-0.07506807,142,140
T0RealizedVariance5.b,-0.08764439,-0.077291265,139,141
T0RealizedVariance0.a,-0.22852503,-0.07890145,163,142
T0Skewness2.b,-0.16961911,-0.07922905,158,143
T0AmihudIlliquidityMeasure1.b,-0.6656824,-0.08341938,178,144
T0AveragePriceBias1.a,-0.15156157,-0.088910595,153,145
T0Skewness2.c,-0.12743838,-0.0894076,147,146
T0ValueAtRisk1.b,-0.096193664,-0.08967342,140,147
T0ConsumptionRate2.a,-0.08501303,-0.0905303,136,148
T0VolumeWeightedSkewness0.a,0.051675275,-0.09098909,72,149
T0QuoteChange1.a,-0.18908615,-0.09272152,159,150
T0HullMA2.a,-0.06658469,-0.093026936,134,151
T0ValueAtRisk0.a,-0.1688198,-0.09415359,157,152
T0ConsumptionRate1.a,-0.13173693,-0.094331786,150,153
T0BookImbalace0.b,-0.0049075526,-0.10599007,100,154
T0Skewness1.c,-0.16058919,-0.11435076,156,155
T0BookImbalace2.b,-0.118398495,-0.12115885,146,156
T0BuyInMovement2.b,-0.15478377,-0.12512828,154,157
T0RealizedVariance2.c,-0.06021202,-0.12834428,133,158
T0ValueAtRisk0.b,-0.22121005,-0.12849133,162,159
T0HullMA0.a,-0.11147233,-0.14249109,143,160
